protocol,seed,split,class_id,class_name,samples,class_total,target_fraction,actual_fraction_of_class
fair24_6_70,1442,train,ALL,All labeled pixels,2459,10249,0.24,0.23992584642404138
fair24_6_70,1442,train,1,Alfalfa,11,46,0.24,0.2391304347826087
fair24_6_70,1442,train,2,Corn-notill,342,1428,0.24,0.23949579831932774
fair24_6_70,1442,train,3,Corn-mintill,199,830,0.24,0.2397590361445783
fair24_6_70,1442,train,4,Corn,57,237,0.24,0.24050632911392406
fair24_6_70,1442,train,5,Grass-pasture,116,483,0.24,0.2401656314699793
fair24_6_70,1442,train,6,Grass-trees,175,730,0.24,0.23972602739726026
fair24_6_70,1442,train,7,Grass-pasture-mowed,7,28,0.24,0.25
fair24_6_70,1442,train,8,Hay-windrowed,114,478,0.24,0.2384937238493724
fair24_6_70,1442,train,9,Oats,5,20,0.24,0.25
fair24_6_70,1442,train,10,Soybean-notill,234,972,0.24,0.24074074074074073
fair24_6_70,1442,train,11,Soybean-mintill,589,2455,0.24,0.239918533604888
fair24_6_70,1442,train,12,Soybean-clean,142,593,0.24,0.23946037099494097
fair24_6_70,1442,train,13,Wheat,50,205,0.24,0.24390243902439024
fair24_6_70,1442,train,14,Woods,303,1265,0.24,0.23952569169960475
fair24_6_70,1442,train,15,Buildings-Grass-Trees-Drives,93,386,0.24,0.24093264248704663
fair24_6_70,1442,train,16,Stone-Steel-Towers,22,93,0.24,0.23655913978494625
fair24_6_70,1442,validation,ALL,All labeled pixels,615,10249,0.06,0.060005854229680945
fair24_6_70,1442,validation,1,Alfalfa,3,46,0.06,0.06521739130434782
fair24_6_70,1442,validation,2,Corn-notill,86,1428,0.06,0.06022408963585434
fair24_6_70,1442,validation,3,Corn-mintill,50,830,0.06,0.060240963855421686
fair24_6_70,1442,validation,4,Corn,14,237,0.06,0.05907172995780591
fair24_6_70,1442,validation,5,Grass-pasture,29,483,0.06,0.060041407867494824
fair24_6_70,1442,validation,6,Grass-trees,44,730,0.06,0.06027397260273973
fair24_6_70,1442,validation,7,Grass-pasture-mowed,1,28,0.06,0.03571428571428571
fair24_6_70,1442,validation,8,Hay-windrowed,29,478,0.06,0.060669456066945605
fair24_6_70,1442,validation,9,Oats,1,20,0.06,0.05
fair24_6_70,1442,validation,10,Soybean-notill,58,972,0.06,0.059670781893004114
fair24_6_70,1442,validation,11,Soybean-mintill,147,2455,0.06,0.059877800407331976
fair24_6_70,1442,validation,12,Soybean-clean,36,593,0.06,0.06070826306913996
fair24_6_70,1442,validation,13,Wheat,12,205,0.06,0.05853658536585366
fair24_6_70,1442,validation,14,Woods,76,1265,0.06,0.06007905138339921
fair24_6_70,1442,validation,15,Buildings-Grass-Trees-Drives,23,386,0.06,0.05958549222797927
fair24_6_70,1442,validation,16,Stone-Steel-Towers,6,93,0.06,0.06451612903225806
fair24_6_70,1442,test,ALL,All labeled pixels,7175,10249,0.7,0.7000682993462777
fair24_6_70,1442,test,1,Alfalfa,32,46,0.7,0.6956521739130435
fair24_6_70,1442,test,2,Corn-notill,1000,1428,0.7,0.7002801120448179
fair24_6_70,1442,test,3,Corn-mintill,581,830,0.7,0.7
fair24_6_70,1442,test,4,Corn,166,237,0.7,0.70042194092827
fair24_6_70,1442,test,5,Grass-pasture,338,483,0.7,0.6997929606625258
fair24_6_70,1442,test,6,Grass-trees,511,730,0.7,0.7
fair24_6_70,1442,test,7,Grass-pasture-mowed,20,28,0.7,0.7142857142857143
fair24_6_70,1442,test,8,Hay-windrowed,335,478,0.7,0.700836820083682
fair24_6_70,1442,test,9,Oats,14,20,0.7,0.7
fair24_6_70,1442,test,10,Soybean-notill,680,972,0.7,0.6995884773662552
fair24_6_70,1442,test,11,Soybean-mintill,1719,2455,0.7,0.70020366598778
fair24_6_70,1442,test,12,Soybean-clean,415,593,0.7,0.6998313659359191
fair24_6_70,1442,test,13,Wheat,143,205,0.7,0.697560975609756
fair24_6_70,1442,test,14,Woods,886,1265,0.7,0.700395256916996
fair24_6_70,1442,test,15,Buildings-Grass-Trees-Drives,270,386,0.7,0.6994818652849741
fair24_6_70,1442,test,16,Stone-Steel-Towers,65,93,0.7,0.6989247311827957
