protocol,seed,split,class_id,class_name,samples,class_total,target_fraction,actual_fraction_of_class
paper30,1442,train,ALL,All labeled pixels,3074,10249,0.3,0.2999317006537223
paper30,1442,train,1,Alfalfa,14,46,0.3,0.30434782608695654
paper30,1442,train,2,Corn-notill,428,1428,0.3,0.29971988795518206
paper30,1442,train,3,Corn-mintill,249,830,0.3,0.3
paper30,1442,train,4,Corn,71,237,0.3,0.29957805907172996
paper30,1442,train,5,Grass-pasture,145,483,0.3,0.3002070393374741
paper30,1442,train,6,Grass-trees,219,730,0.3,0.3
paper30,1442,train,7,Grass-pasture-mowed,8,28,0.3,0.2857142857142857
paper30,1442,train,8,Hay-windrowed,143,478,0.3,0.29916317991631797
paper30,1442,train,9,Oats,6,20,0.3,0.3
paper30,1442,train,10,Soybean-notill,292,972,0.3,0.3004115226337449
paper30,1442,train,11,Soybean-mintill,736,2455,0.3,0.29979633401221994
paper30,1442,train,12,Soybean-clean,178,593,0.3,0.30016863406408095
paper30,1442,train,13,Wheat,62,205,0.3,0.3024390243902439
paper30,1442,train,14,Woods,379,1265,0.3,0.29960474308300394
paper30,1442,train,15,Buildings-Grass-Trees-Drives,116,386,0.3,0.3005181347150259
paper30,1442,train,16,Stone-Steel-Towers,28,93,0.3,0.3010752688172043
paper30,1442,validation,ALL,All labeled pixels,0,10249,0.0,0.0
paper30,1442,validation,1,Alfalfa,0,46,0.0,0.0
paper30,1442,validation,2,Corn-notill,0,1428,0.0,0.0
paper30,1442,validation,3,Corn-mintill,0,830,0.0,0.0
paper30,1442,validation,4,Corn,0,237,0.0,0.0
paper30,1442,validation,5,Grass-pasture,0,483,0.0,0.0
paper30,1442,validation,6,Grass-trees,0,730,0.0,0.0
paper30,1442,validation,7,Grass-pasture-mowed,0,28,0.0,0.0
paper30,1442,validation,8,Hay-windrowed,0,478,0.0,0.0
paper30,1442,validation,9,Oats,0,20,0.0,0.0
paper30,1442,validation,10,Soybean-notill,0,972,0.0,0.0
paper30,1442,validation,11,Soybean-mintill,0,2455,0.0,0.0
paper30,1442,validation,12,Soybean-clean,0,593,0.0,0.0
paper30,1442,validation,13,Wheat,0,205,0.0,0.0
paper30,1442,validation,14,Woods,0,1265,0.0,0.0
paper30,1442,validation,15,Buildings-Grass-Trees-Drives,0,386,0.0,0.0
paper30,1442,validation,16,Stone-Steel-Towers,0,93,0.0,0.0
paper30,1442,test,ALL,All labeled pixels,7175,10249,0.7,0.7000682993462777
paper30,1442,test,1,Alfalfa,32,46,0.7,0.6956521739130435
paper30,1442,test,2,Corn-notill,1000,1428,0.7,0.7002801120448179
paper30,1442,test,3,Corn-mintill,581,830,0.7,0.7
paper30,1442,test,4,Corn,166,237,0.7,0.70042194092827
paper30,1442,test,5,Grass-pasture,338,483,0.7,0.6997929606625258
paper30,1442,test,6,Grass-trees,511,730,0.7,0.7
paper30,1442,test,7,Grass-pasture-mowed,20,28,0.7,0.7142857142857143
paper30,1442,test,8,Hay-windrowed,335,478,0.7,0.700836820083682
paper30,1442,test,9,Oats,14,20,0.7,0.7
paper30,1442,test,10,Soybean-notill,680,972,0.7,0.6995884773662552
paper30,1442,test,11,Soybean-mintill,1719,2455,0.7,0.70020366598778
paper30,1442,test,12,Soybean-clean,415,593,0.7,0.6998313659359191
paper30,1442,test,13,Wheat,143,205,0.7,0.697560975609756
paper30,1442,test,14,Woods,886,1265,0.7,0.700395256916996
paper30,1442,test,15,Buildings-Grass-Trees-Drives,270,386,0.7,0.6994818652849741
paper30,1442,test,16,Stone-Steel-Towers,65,93,0.7,0.6989247311827957
