protocol,seed,split,class_id,class_name,samples,class_total,target_fraction,actual_fraction_of_class
fair24_6_70,1442,train,ALL,All labeled pixels,10265,42776,0.24,0.23997101178230784
fair24_6_70,1442,train,1,Asphalt,1591,6631,0.24,0.23993364500075404
fair24_6_70,1442,train,2,Meadows,4475,18649,0.24,0.23995924714461903
fair24_6_70,1442,train,3,Gravel,504,2099,0.24,0.2401143401619819
fair24_6_70,1442,train,4,Trees,735,3064,0.24,0.23988250652741513
fair24_6_70,1442,train,5,Painted metal sheets,323,1345,0.24,0.24014869888475837
fair24_6_70,1442,train,6,Bare Soil,1207,5029,0.24,0.2400079538675681
fair24_6_70,1442,train,7,Bitumen,319,1330,0.24,0.23984962406015037
fair24_6_70,1442,train,8,Self-Blocking Bricks,884,3682,0.24,0.2400869092884302
fair24_6_70,1442,train,9,Shadows,227,947,0.24,0.23970432946145723
fair24_6_70,1442,validation,ALL,All labeled pixels,2567,42776,0.06,0.06001028614176174
fair24_6_70,1442,validation,1,Asphalt,398,6631,0.06,0.06002111295430553
fair24_6_70,1442,validation,2,Meadows,1119,18649,0.06,0.060003217330687975
fair24_6_70,1442,validation,3,Gravel,126,2099,0.06,0.06002858504049548
fair24_6_70,1442,validation,4,Trees,184,3064,0.06,0.06005221932114883
fair24_6_70,1442,validation,5,Painted metal sheets,80,1345,0.06,0.05947955390334572
fair24_6_70,1442,validation,6,Bare Soil,302,5029,0.06,0.060051700139192685
fair24_6_70,1442,validation,7,Bitumen,80,1330,0.06,0.06015037593984962
fair24_6_70,1442,validation,8,Self-Blocking Bricks,221,3682,0.06,0.06002172732210755
fair24_6_70,1442,validation,9,Shadows,57,947,0.06,0.06019007391763464
fair24_6_70,1442,test,ALL,All labeled pixels,29944,42776,0.7,0.7000187020759304
fair24_6_70,1442,test,1,Asphalt,4642,6631,0.7,0.7000452420449405
fair24_6_70,1442,test,2,Meadows,13055,18649,0.7,0.700037535524693
fair24_6_70,1442,test,3,Gravel,1469,2099,0.7,0.6998570747975227
fair24_6_70,1442,test,4,Trees,2145,3064,0.7,0.700065274151436
fair24_6_70,1442,test,5,Painted metal sheets,942,1345,0.7,0.7003717472118959
fair24_6_70,1442,test,6,Bare Soil,3520,5029,0.7,0.6999403459932392
fair24_6_70,1442,test,7,Bitumen,931,1330,0.7,0.7
fair24_6_70,1442,test,8,Self-Blocking Bricks,2577,3682,0.7,0.6998913633894622
fair24_6_70,1442,test,9,Shadows,663,947,0.7,0.7001055966209081
