protocol,seed,split,class_id,class_name,samples,class_total,target_fraction,actual_fraction_of_class
fair24_6_70,1442,train,ALL,All labeled pixels,12990,54129,0.24,0.23998226459014577
fair24_6_70,1442,train,1,Broccoli_green_weeds_1,482,2009,0.24,0.23992035838725734
fair24_6_70,1442,train,2,Broccoli_green_weeds_2,894,3726,0.24,0.23993558776167473
fair24_6_70,1442,train,3,Fallow,474,1976,0.24,0.23987854251012145
fair24_6_70,1442,train,4,Fallow_rough_plow,335,1394,0.24,0.24031563845050216
fair24_6_70,1442,train,5,Fallow_smooth,642,2678,0.24,0.239731142643764
fair24_6_70,1442,train,6,Stubble,950,3959,0.24,0.23995958575397827
fair24_6_70,1442,train,7,Celery,859,3579,0.24,0.24001117630623078
fair24_6_70,1442,train,8,Grapes_untrained,2705,11271,0.24,0.23999645106911544
fair24_6_70,1442,train,9,Soil_vinyard_develop,1489,6203,0.24,0.24004513944865388
fair24_6_70,1442,train,10,Corn_senesced_green_weeds,786,3278,0.24,0.2397803538743136
fair24_6_70,1442,train,11,Lettuce_romaine_4wk,256,1068,0.24,0.2397003745318352
fair24_6_70,1442,train,12,Lettuce_romaine_5wk,463,1927,0.24,0.2402698495070057
fair24_6_70,1442,train,13,Lettuce_romaine_6wk,220,916,0.24,0.24017467248908297
fair24_6_70,1442,train,14,Lettuce_romaine_7wk,257,1070,0.24,0.24018691588785046
fair24_6_70,1442,train,15,Vinyard_untrained,1744,7268,0.24,0.2399559713813979
fair24_6_70,1442,train,16,Vinyard_vertical_trellis,434,1807,0.24,0.2401770890979524
fair24_6_70,1442,validation,ALL,All labeled pixels,3248,54129,0.06,0.060004803340168854
fair24_6_70,1442,validation,1,Broccoli_green_weeds_1,121,2009,0.06,0.06022896963663514
fair24_6_70,1442,validation,2,Broccoli_green_weeds_2,224,3726,0.06,0.06011808910359635
fair24_6_70,1442,validation,3,Fallow,119,1976,0.06,0.06022267206477733
fair24_6_70,1442,validation,4,Fallow_rough_plow,83,1394,0.06,0.05954088952654232
fair24_6_70,1442,validation,5,Fallow_smooth,161,2678,0.06,0.06011949215832711
fair24_6_70,1442,validation,6,Stubble,238,3959,0.06,0.06011619095731245
fair24_6_70,1442,validation,7,Celery,215,3579,0.06,0.06007264599050014
fair24_6_70,1442,validation,8,Grapes_untrained,676,11271,0.06,0.05997693194925029
fair24_6_70,1442,validation,9,Soil_vinyard_develop,372,6203,0.06,0.05997098178300822
fair24_6_70,1442,validation,10,Corn_senesced_green_weeds,197,3278,0.06,0.060097620500305066
fair24_6_70,1442,validation,11,Lettuce_romaine_4wk,64,1068,0.06,0.0599250936329588
fair24_6_70,1442,validation,12,Lettuce_romaine_5wk,115,1927,0.06,0.05967825635703165
fair24_6_70,1442,validation,13,Lettuce_romaine_6wk,55,916,0.06,0.060043668122270744
fair24_6_70,1442,validation,14,Lettuce_romaine_7wk,64,1070,0.06,0.059813084112149535
fair24_6_70,1442,validation,15,Vinyard_untrained,436,7268,0.06,0.059988992845349476
fair24_6_70,1442,validation,16,Vinyard_vertical_trellis,108,1807,0.06,0.059767570558937465
fair24_6_70,1442,test,ALL,All labeled pixels,37891,54129,0.7,0.7000129320696854
fair24_6_70,1442,test,1,Broccoli_green_weeds_1,1406,2009,0.7,0.6998506719761075
fair24_6_70,1442,test,2,Broccoli_green_weeds_2,2608,3726,0.7,0.6999463231347289
fair24_6_70,1442,test,3,Fallow,1383,1976,0.7,0.6998987854251012
fair24_6_70,1442,test,4,Fallow_rough_plow,976,1394,0.7,0.7001434720229556
fair24_6_70,1442,test,5,Fallow_smooth,1875,2678,0.7,0.7001493651979089
fair24_6_70,1442,test,6,Stubble,2771,3959,0.7,0.6999242232887093
fair24_6_70,1442,test,7,Celery,2505,3579,0.7,0.6999161777032691
fair24_6_70,1442,test,8,Grapes_untrained,7890,11271,0.7,0.7000266169816343
fair24_6_70,1442,test,9,Soil_vinyard_develop,4342,6203,0.7,0.6999838787683379
fair24_6_70,1442,test,10,Corn_senesced_green_weeds,2295,3278,0.7,0.7001220256253813
fair24_6_70,1442,test,11,Lettuce_romaine_4wk,748,1068,0.7,0.700374531835206
fair24_6_70,1442,test,12,Lettuce_romaine_5wk,1349,1927,0.7,0.7000518941359626
fair24_6_70,1442,test,13,Lettuce_romaine_6wk,641,916,0.7,0.6997816593886463
fair24_6_70,1442,test,14,Lettuce_romaine_7wk,749,1070,0.7,0.7
fair24_6_70,1442,test,15,Vinyard_untrained,5088,7268,0.7,0.7000550357732526
fair24_6_70,1442,test,16,Vinyard_vertical_trellis,1265,1807,0.7,0.7000553403431101
