protocol,seed,split,class_id,class_name,samples,class_total,target_fraction,actual_fraction_of_class
paper30,1442,train,ALL,All labeled pixels,16238,54129,0.3,0.2999870679303146
paper30,1442,train,1,Broccoli_green_weeds_1,603,2009,0.3,0.3001493280238925
paper30,1442,train,2,Broccoli_green_weeds_2,1118,3726,0.3,0.30005367686527107
paper30,1442,train,3,Fallow,593,1976,0.3,0.3001012145748988
paper30,1442,train,4,Fallow_rough_plow,418,1394,0.3,0.2998565279770445
paper30,1442,train,5,Fallow_smooth,803,2678,0.3,0.2998506348020911
paper30,1442,train,6,Stubble,1188,3959,0.3,0.3000757767112907
paper30,1442,train,7,Celery,1074,3579,0.3,0.3000838222967309
paper30,1442,train,8,Grapes_untrained,3381,11271,0.3,0.29997338301836574
paper30,1442,train,9,Soil_vinyard_develop,1861,6203,0.3,0.3000161212316621
paper30,1442,train,10,Corn_senesced_green_weeds,983,3278,0.3,0.29987797437461866
paper30,1442,train,11,Lettuce_romaine_4wk,320,1068,0.3,0.299625468164794
paper30,1442,train,12,Lettuce_romaine_5wk,578,1927,0.3,0.29994810586403736
paper30,1442,train,13,Lettuce_romaine_6wk,275,916,0.3,0.3002183406113537
paper30,1442,train,14,Lettuce_romaine_7wk,321,1070,0.3,0.3
paper30,1442,train,15,Vinyard_untrained,2180,7268,0.3,0.2999449642267474
paper30,1442,train,16,Vinyard_vertical_trellis,542,1807,0.3,0.2999446596568899
paper30,1442,validation,ALL,All labeled pixels,0,54129,0.0,0.0
paper30,1442,validation,1,Broccoli_green_weeds_1,0,2009,0.0,0.0
paper30,1442,validation,2,Broccoli_green_weeds_2,0,3726,0.0,0.0
paper30,1442,validation,3,Fallow,0,1976,0.0,0.0
paper30,1442,validation,4,Fallow_rough_plow,0,1394,0.0,0.0
paper30,1442,validation,5,Fallow_smooth,0,2678,0.0,0.0
paper30,1442,validation,6,Stubble,0,3959,0.0,0.0
paper30,1442,validation,7,Celery,0,3579,0.0,0.0
paper30,1442,validation,8,Grapes_untrained,0,11271,0.0,0.0
paper30,1442,validation,9,Soil_vinyard_develop,0,6203,0.0,0.0
paper30,1442,validation,10,Corn_senesced_green_weeds,0,3278,0.0,0.0
paper30,1442,validation,11,Lettuce_romaine_4wk,0,1068,0.0,0.0
paper30,1442,validation,12,Lettuce_romaine_5wk,0,1927,0.0,0.0
paper30,1442,validation,13,Lettuce_romaine_6wk,0,916,0.0,0.0
paper30,1442,validation,14,Lettuce_romaine_7wk,0,1070,0.0,0.0
paper30,1442,validation,15,Vinyard_untrained,0,7268,0.0,0.0
paper30,1442,validation,16,Vinyard_vertical_trellis,0,1807,0.0,0.0
paper30,1442,test,ALL,All labeled pixels,37891,54129,0.7,0.7000129320696854
paper30,1442,test,1,Broccoli_green_weeds_1,1406,2009,0.7,0.6998506719761075
paper30,1442,test,2,Broccoli_green_weeds_2,2608,3726,0.7,0.6999463231347289
paper30,1442,test,3,Fallow,1383,1976,0.7,0.6998987854251012
paper30,1442,test,4,Fallow_rough_plow,976,1394,0.7,0.7001434720229556
paper30,1442,test,5,Fallow_smooth,1875,2678,0.7,0.7001493651979089
paper30,1442,test,6,Stubble,2771,3959,0.7,0.6999242232887093
paper30,1442,test,7,Celery,2505,3579,0.7,0.6999161777032691
paper30,1442,test,8,Grapes_untrained,7890,11271,0.7,0.7000266169816343
paper30,1442,test,9,Soil_vinyard_develop,4342,6203,0.7,0.6999838787683379
paper30,1442,test,10,Corn_senesced_green_weeds,2295,3278,0.7,0.7001220256253813
paper30,1442,test,11,Lettuce_romaine_4wk,748,1068,0.7,0.700374531835206
paper30,1442,test,12,Lettuce_romaine_5wk,1349,1927,0.7,0.7000518941359626
paper30,1442,test,13,Lettuce_romaine_6wk,641,916,0.7,0.6997816593886463
paper30,1442,test,14,Lettuce_romaine_7wk,749,1070,0.7,0.7
paper30,1442,test,15,Vinyard_untrained,5088,7268,0.7,0.7000550357732526
paper30,1442,test,16,Vinyard_vertical_trellis,1265,1807,0.7,0.7000553403431101
