dataset,model,params,output_bands,patch_size,epochs_trained,max_epochs,train_seconds,mean_epoch_seconds,oa,aa,kappa,test_samples,output_dir
Pavia University,Paper3DCNN,771041,103,11,155,300,1454.2727090999997,9.127531151612862,0.9900480897675661,0.9836922843856066,0.9868060526893506,29944,G:\高光谱智能图像解译\实验交付\experiments\pavia_university__paper3dcnn__fair24_6_70__seed1442__20260818-2334
Pavia University,Paper3D1DCNN,214561,103,11,122,300,1144.2268235000001,9.12811354508198,0.9877437884050227,0.9794673395854624,0.9837559456779462,29944,G:\高光谱智能图像解译\实验交付\experiments\pavia_university__paper3d1dcnn__fair24_6_70__seed1442__20260818-2314
Pavia University,改进Paper3D1DCNN,201993,103,11,167,300,1698.8425791999998,9.857184113772458,0.9802297622228159,0.9692556006748568,0.9737919879733362,29944,G:\高光谱智能图像解译\实验交付\experiments\pavia_university__improvedpaper3d1dcnn__fair24_6_70__seed1442__20260818-2359
Pavia University,HybridSN,4844793,15,25,17,30,71.54151210000055,3.9859809882352293,0.9990649211862143,0.9983531845624903,0.9987610159363726,29944,G:\高光谱智能图像解译\实验交付\experiments\pavia_university__hybridsn__fair24_6_70__seed1442__20260819-0027
Pavia University,改进HybridSN,152073,15,25,30,30,239.57119889999922,7.703921160000027,0.9972949505744055,0.9925342052589878,0.9964149735117152,29944,G:\高光谱智能图像解译\实验交付\experiments\pavia_university__improved_hybridsn__fair24_6_70__seed1442__20260819-0029
Indian Pines,Paper3DCNN,1566568,200,11,269,300,1196.7053621999985,4.343636524163474,0.966411149825784,0.921841891964025,0.9617084267569403,7175,G:\高光谱智能图像解译\实验交付\experiments\indian_pines__paper3dcnn__fair24_6_70__seed1442__20260819-0146
Indian Pines,Paper3D1DCNN,262064,200,11,214,300,951.7676838999996,4.336738016822484,0.9382578397212543,0.8949499907695158,0.9295162040052221,7175,G:\高光谱智能图像解译\实验交付\experiments\indian_pines__paper3d1dcnn__fair24_6_70__seed1442__20260819-0042
Indian Pines,改进Paper3D1DCNN,202168,200,11,300,300,1389.4841990000023,4.521837262333308,0.7298954703832753,0.4761287765577593,0.6873977674708706,7175,G:\高光谱智能图像解译\实验交付\experiments\indian_pines__improvedpaper3d1dcnn__fair24_6_70__seed1442__20260819-0257
Indian Pines,HybridSN,4845696,15,25,30,30,31.422478599997703,0.9511063766660907,0.9912195121951219,0.9709093627428942,0.9899946359163054,7175,G:\高光谱智能图像解译\实验交付\experiments\indian_pines__hybridsn__fair24_6_70__seed1442__20260819-0740
Indian Pines,改进HybridSN,152528,15,25,30,30,57.56182880000415,1.8283972700005202,0.9921951219512195,0.9774163239963543,0.9911032091508432,7175,G:\高光谱智能图像解译\实验交付\experiments\indian_pines__improved_hybridsn__fair24_6_70__seed1442__20260819-0742
Salinas,Paper3DCNN,1599336,204,11,127,300,3026.6113855999993,23.331210285039433,0.9743474703755509,0.9870812879899433,0.9714298867091341,37891,G:\高光谱智能图像解译\实验交付\experiments\salinas__paper3dcnn__fair24_6_70__seed1442__20260819-0206
Salinas,Paper3D1DCNN,263600,204,11,120,300,2878.984733700001,23.4805774825,0.9856694201789343,0.9923680268340043,0.9840514738920759,37891,G:\高光谱智能图像解译\实验交付\experiments\salinas__paper3d1dcnn__fair24_6_70__seed1442__20260819-0058
Salinas,改进Paper3D1DCNN,202168,204,11,184,300,15472.960201099999,83.55331413478265,0.9584334010714946,0.9808143634484823,0.953745592436949,37891,G:\高光谱智能图像解译\实验交付\experiments\salinas__improvedpaper3d1dcnn__fair24_6_70__seed1442__20260819-0321
Salinas,HybridSN,4845696,15,25,16,30,84.66133059999993,5.019017562500721,0.9996833021034018,0.9992011954778377,0.9996473594713045,37891,G:\高光谱智能图像解译\实验交付\experiments\salinas__hybridsn__fair24_6_70__seed1442__20260819-0741
Salinas,改进HybridSN,152528,15,25,22,30,221.6735350999952,9.724970240910228,0.9998680425430841,0.9996798155737705,0.9998530672366551,37891,G:\高光谱智能图像解译\实验交付\experiments\salinas__improved_hybridsn__fair24_6_70__seed1442__20260819-0743
